question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,requirement,difficulty,pcip_reference
"What type of assessment must a Level 1 merchant undergo annually?","Self-Assessment Questionnaire (SAQ)","Report on Compliance (ROC) by a QSA","Internal security scan only","Attestation of Compliance (AOC) only",b,"Level 1 merchants must undergo an annual on-site assessment resulting in a Report on Compliance (ROC) conducted by a PCI SSC-approved Qualified Security Assessor (QSA), plus quarterly ASV scans.",2,,easy,Visa/Mastercard Compliance Programs
"Which entity certifies and qualifies QSAs (Qualified Security Assessors)?",Visa,Mastercard,PCI SSC (Payment Card Industry Security Standards Council),The merchant's acquiring bank,c,"The PCI SSC certifies QSAs. QSAs are employed by QSA Companies (QSACs) that are approved by the PCI SSC. Individual QSAs must pass the PCI SSC's training and examination program.",2,,easy,PCI SSC Programs
"An entity that stores, processes, or transmits cardholder data on behalf of another entity is known as what?",An issuer,A service provider,An acquirer,A payment brand,b,"Per PCI DSS v4.0.1, a service provider is a business entity that is not a payment brand and is directly involved in the processing, storage, or transmission of cardholder data on behalf of another entity.",2,,easy,PCI DSS v4.0.1 Glossary
"Which of the following correctly distinguishes compliance from validation?","Compliance means passing an annual assessment; validation means meeting all requirements","Compliance means meeting all PCI DSS requirements at all times; validation means proving compliance through formal assessment","They are the same thing","Compliance applies to merchants; validation applies to service providers",b,"Compliance means actually meeting all applicable PCI DSS requirements at all times. Validation means proving compliance through a formal process (SAQ, ROC, ASV scans). An entity can be compliant but not validated, or validated but have since become non-compliant.",2,,hard,PCI DSS Compliance Programs
"PCI DSS Requirement 1 addresses which of the following?","Protecting stored account data","Installing and maintaining network security controls","Developing secure systems and software","Restricting physical access to cardholder data",b,"Requirement 1: Install and Maintain Network Security Controls. This covers firewalls, network security controls (NSCs), DMZ concepts, and rules for inbound/outbound traffic.",3,1,easy,PCI DSS v4.0.1 Req 1
"Under Requirement 1.5.1, security controls on computing devices that connect to both untrusted networks and the CDE must meet which condition?","They can be freely disabled by administrators","They must be not alterable by users unless authorized by management on a case-by-case basis for a limited period","They only need to be active during business hours","They are only required on company-owned devices",b,"Requirement 1.5.1 states that security controls on devices connecting to both untrusted networks and the CDE must have specific configuration settings defined, be actively running, and not be alterable by users unless specifically documented and authorized by management on a case-by-case basis for a limited period.",3,1,hard,PCI DSS v4.0.1 Req 1.5.1
"PCI DSS Requirement 2 primarily addresses what?","Encrypting data in transit","Applying secure configurations to all system components","Implementing access controls","Testing security regularly",b,"Requirement 2: Apply Secure Configurations to All System Components. This includes changing vendor-supplied defaults, system hardening, removing unnecessary services/protocols, and establishing configuration standards.",3,2,easy,PCI DSS v4.0.1 Req 2
"According to PCI DSS Requirement 2, what must be done with vendor-supplied default passwords?","They must be documented and stored securely","They must be changed before installing a system on the network","They are acceptable if they meet minimum complexity requirements","They only need to be changed on internet-facing systems",b,"Requirement 2 mandates that vendor-supplied defaults (including passwords, SNMP community strings, and other security parameters) must be changed before a system is installed on the network.",3,2,medium,PCI DSS v4.0.1 Req 2.2.2
"Under PCI DSS Requirement 3, when must stored PAN be rendered unreadable?","Only when stored on removable media","Only when stored in databases","Anywhere it is stored","Only when transmitted over public networks",c,"Requirement 3.5.1 requires that PAN is rendered unreadable anywhere it is stored by using one-way hashes, truncation, index tokens and pads, or strong cryptography with associated key-management processes.",3,3,medium,PCI DSS v4.0.1 Req 3.5.1
"Which of the following is an acceptable method for rendering PAN unreadable when stored?","Encoding with Base64","Masking the first 6 and last 4 digits","Strong cryptography with associated key management","Storing in a password-protected spreadsheet",c,"Acceptable methods include one-way hashes based on strong cryptography, truncation, index tokens and pads (with pads securely stored), and strong cryptography with associated key-management processes and procedures. Encoding (like Base64) is not encryption.",3,3,medium,PCI DSS v4.0.1 Req 3.5.1
"What is the maximum number of PAN digits that may be displayed when masking per PCI DSS?","First 6 and last 4 digits (or BIN plus last 4)","First 4 and last 4 digits","First 8 digits only","Last 4 digits only",a,"PCI DSS allows displaying a maximum of the first six digits and last four digits of the PAN (or the BIN plus last four). Any display beyond this must have a legitimate business need, and the full PAN must not be viewable.",3,3,medium,PCI DSS v4.0.1 Req 3.4.1
"PCI DSS Requirement 3.4.2 requires technical controls to prevent what when PAN is accessed via remote-access technologies?","Unauthorized users from viewing PAN","Copy and/or relocation of PAN to local devices unless explicitly authorized","PAN from being displayed on screen","Users from printing PAN",b,"Requirement 3.4.2 requires technical controls to prevent copy and/or relocation of PAN for all personnel when accessed via remote-access technologies, unless explicitly authorized. This became mandatory March 31, 2025.",3,3,hard,PCI DSS v4.0.1 Req 3.4.2
"PCI DSS Requirement 4 requires strong cryptography when transmitting cardholder data over what type of networks?","All internal networks","Only wireless networks","Open, public networks","Only cloud-hosted networks",c,"Requirement 4: Protect Cardholder Data with Strong Cryptography During Transmission Over Open, Public Networks. This includes the internet, wireless technologies, cellular technologies, and satellite communications.",3,4,easy,PCI DSS v4.0.1 Req 4
"Which protocol is required for encrypting cardholder data transmitted over public networks?","SSL 3.0 or higher","TLS 1.0 or higher","TLS 1.2 or higher (or equivalent strong cryptography)","Any version of TLS",c,"PCI DSS requires TLS 1.2 or higher (or equivalent strong cryptography) for transmitting cardholder data over open, public networks. SSL and early TLS (1.0, 1.1) are not considered strong cryptography.",3,4,medium,PCI DSS v4.0.1 Req 4.2.1
"PCI DSS Requirement 5 addresses which of the following?","Access control measures","Protecting all systems and networks from malicious software","Physical security controls","Information security policies",b,"Requirement 5: Protect All Systems and Networks from Malicious Software. This requires anti-malware solutions on all systems commonly affected by malicious software, with periodic evaluations for systems not commonly affected.",3,5,easy,PCI DSS v4.0.1 Req 5
"Under Requirement 5.2.3.1, systems identified as not at risk for malware must be evaluated at what frequency?","Never, once identified as not at risk","Annually","According to the entity's targeted risk analysis","Quarterly",c,"Requirement 5.2.3.1 requires periodic re-evaluation of system components identified as not at risk for malware at a frequency defined by the entity's targeted risk analysis (per Requirement 12.3.1). This became mandatory March 31, 2025.",3,5,hard,PCI DSS v4.0.1 Req 5.2.3.1
"PCI DSS Requirement 6 covers which of the following?","Network security controls","Developing and maintaining secure systems and software","Identifying and authenticating users","Logging and monitoring access",b,"Requirement 6: Develop and Maintain Secure Systems and Software. This includes security patches, secure development lifecycle, public-facing web application protections, and change control processes.",3,6,easy,PCI DSS v4.0.1 Req 6
"According to PCI DSS Requirement 6.3.3, how quickly must critical and high-severity security patches be installed?","Within 24 hours","Within 7 days","Within 30 days of release","Within one month of release",d,"Requirement 6.3.3 requires that critical and high security patches/updates be installed within one month of release. The entity must also have a process to identify and rank vulnerabilities based on industry best practices.",3,6,medium,PCI DSS v4.0.1 Req 6.3.3
"What must entities deploy to protect public-facing web applications under Requirement 6.4?","An intrusion detection system","A web application firewall (WAF) or equivalent solution that detects and prevents web-based attacks","Anti-malware software on the web server","A content delivery network (CDN)",b,"Requirement 6.4 requires automated technical solutions for public-facing web applications that detect and prevent web-based attacks (e.g., a WAF), or alternatively an application vulnerability security assessment approach for code review.",3,6,medium,PCI DSS v4.0.1 Req 6.4
"PCI DSS Requirement 7 is based on which fundamental security principle?","Defense in depth","Need to know / least privilege","Separation of duties","Security by obscurity",b,"Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know. This is based on the need-to-know and least-privilege principles, implemented through role-based access control (RBAC).",3,7,easy,PCI DSS v4.0.1 Req 7
"What is the default access policy that Requirement 7 mandates for access control systems?","Allow all, deny specific","Deny all, allow by exception","Allow authenticated users, deny anonymous","Role-based with no default",b,"Requirement 7.2.5 mandates that all access to system components is assigned based on a need-to-know basis and that access control systems default to 'deny all' unless access is specifically granted.",3,7,medium,PCI DSS v4.0.1 Req 7.2.5
"PCI DSS Requirement 8 mandates that all users must be assigned what before being allowed access to system components?","A shared group account","A unique identification (ID)","A biometric credential","An IP address whitelist entry",b,"Requirement 8.2.1 requires that all users are assigned a unique ID before being allowed to access system components or cardholder data. Group, shared, or generic accounts must not be used.",3,8,easy,PCI DSS v4.0.1 Req 8.2.1
"Under PCI DSS v4.0.1, what is the minimum password/passphrase length requirement?","8 characters","10 characters","12 characters if the system supports it, otherwise at least 8","15 characters",c,"Requirement 8.3.6 specifies passwords/passphrases must be at least 12 characters (or if the system does not support 12 characters, at least 8 characters) and contain both numeric and alphabetic characters.",3,8,medium,PCI DSS v4.0.1 Req 8.3.6
"Multi-factor authentication (MFA) is required under PCI DSS for which of the following scenarios?","All user logins to any system","All administrative access to the CDE and all remote network access into the CDE","Only for access to the PCI DSS compliance portal","Only when accessing systems from outside the country",b,"Requirement 8.4.2 requires MFA for all access into the CDE for non-console administrative access. Requirement 8.4.3 requires MFA for all remote network access from outside the entity's network that could access or impact the CDE.",3,8,hard,PCI DSS v4.0.1 Req 8.4
"PCI DSS Requirement 9 addresses what area of security?","Data encryption","Restricting physical access to cardholder data","Vulnerability management","Security awareness training",b,"Requirement 9: Restrict Physical Access to Cardholder Data. This covers physical access controls, visitor management, media protection and destruction, and POS device tamper protections.",3,9,easy,PCI DSS v4.0.1 Req 9
"Under Requirement 9, which of the following must be implemented for visitors to sensitive areas?","Visitors must undergo a background check","Visitors must be authorized, escorted at all times, and their activities logged","Visitors must sign a non-disclosure agreement","Visitors are not permitted in any area of the facility",b,"Requirement 9.3 requires that physical access for visitors is authorized and managed, including being escorted at all times in sensitive areas, and that visitor logs are maintained.",3,9,medium,PCI DSS v4.0.1 Req 9.3
"PCI DSS Requirement 10 covers which of the following?","Network segmentation testing","Logging and monitoring all access to system components and cardholder data","Physical security controls","Software development practices",b,"Requirement 10: Log and Monitor All Access to System Components and Cardholder Data. This includes audit trails, event logging, time synchronization, and log review processes.",3,10,easy,PCI DSS v4.0.1 Req 10
"According to Requirement 10.2.1.6, audit logs must capture which of the following events?","All file access events","All initialization of new audit logs and all starting, stopping, or pausing of existing audit logs","Only failed login attempts","Only changes to cardholder data",b,"Requirement 10.2.1.6 specifically requires that audit logs capture all initialization of new audit logs and all starting, stopping, or pausing of existing audit logs. This helps detect attempts to tamper with logging.",3,10,hard,PCI DSS v4.0.1 Req 10.2.1.6
"How long must audit log history be retained under PCI DSS?","6 months total, with 1 month immediately available","12 months total, with at least the most recent 3 months immediately available for analysis","24 months total, with 6 months immediately available","36 months total, with 12 months immediately available",b,"Requirement 10.5.1 requires that audit log history is retained for at least 12 months, with at least the most recent three months immediately available for analysis.",3,10,medium,PCI DSS v4.0.1 Req 10.5.1
"How frequently must audit logs for critical security systems be reviewed?","Weekly","Monthly","Daily","Quarterly",c,"Requirement 10.4.1 requires that audit logs for all security events, all logs of system components that store, process, or transmit CHD/SAD, and all logs of critical system components and servers performing security functions be reviewed at least daily.",3,10,medium,PCI DSS v4.0.1 Req 10.4.1
"PCI DSS Requirement 11 addresses which of the following?","Information security policies","Testing security of systems and networks regularly","Access control measures","Protecting stored account data",b,"Requirement 11: Test Security of Systems and Networks Regularly. This includes wireless access point detection, vulnerability scans, penetration testing, IDS/IPS, and file integrity monitoring.",3,11,easy,PCI DSS v4.0.1 Req 11
"How frequently must external vulnerability scans be performed by an Approved Scanning Vendor (ASV)?","Monthly","Quarterly","Semi-annually","Annually",b,"Requirement 11.3.2 requires external vulnerability scans to be performed at least once every three months (quarterly) by a PCI SSC Approved Scanning Vendor (ASV).",3,11,easy,PCI DSS v4.0.1 Req 11.3.2
"What is the minimum frequency for performing penetration testing under PCI DSS?","Monthly","Quarterly","Annually and after any significant infrastructure or application change","Every two years",c,"Requirement 11.4 requires that internal and external penetration tests be performed at least once every 12 months and after any significant infrastructure or application upgrade or change.",3,11,medium,PCI DSS v4.0.1 Req 11.4
"How often must service providers perform segmentation penetration testing?","Annually","Every six months and after changes to segmentation controls","Quarterly","Only when segmentation controls are modified",b,"Requirement 11.4.6 requires service providers to perform penetration tests on segmentation controls at least once every six months and after any changes to segmentation controls/methods.",3,11,hard,PCI DSS v4.0.1 Req 11.4.6
"File integrity monitoring (change-detection) mechanisms must perform critical file comparisons at what minimum frequency?","Daily","At least once weekly","Monthly","In real-time only",b,"Requirement 11.5.2 requires that a change-detection mechanism (such as file integrity monitoring) performs critical file comparisons at least once weekly.",3,11,medium,PCI DSS v4.0.1 Req 11.5.2
"PCI DSS Requirement 12 addresses which of the following?","Network security controls","Supporting information security with organizational policies and programs","Vulnerability management","Secure software development",b,"Requirement 12: Support Information Security with Organizational Policies and Programs. This covers security policies, risk assessment, security awareness training, incident response, and service provider management.",3,12,easy,PCI DSS v4.0.1 Req 12
"How frequently must PCI DSS scope be confirmed and documented?","Quarterly","Semi-annually","At least once every 12 months","Every two years",c,"Requirement 12.5.2 requires that PCI DSS scope is documented and confirmed at least once every 12 months and upon significant change. Service providers must confirm scope every six months per 12.5.2.1.",3,12,medium,PCI DSS v4.0.1 Req 12.5.2
"How often must service providers confirm and document their PCI DSS scope?","Annually","At least once every six months and upon significant change","Quarterly","Monthly",b,"Requirement 12.5.2.1 requires service providers to document and confirm PCI DSS scope at least once every six months and upon significant change to the in-scope environment. This is more frequent than the annual requirement for merchants.",3,12,hard,PCI DSS v4.0.1 Req 12.5.2.1
"Under Requirement 12.8, what must be maintained for all third-party service providers (TPSPs)?","A financial audit of each TPSP","A list of all TPSPs with descriptions of services provided, plus written agreements acknowledging their data security responsibilities","Only the contract terms","A copy of their latest penetration test results",b,"Requirement 12.8 requires maintaining a list of all TPSPs, written agreements acknowledging their responsibilities for account data security, established due diligence processes, monitoring of TPSP compliance status, and documentation of shared PCI DSS responsibilities.",3,12,medium,PCI DSS v4.0.1 Req 12.8
"How frequently must the incident response plan be tested under PCI DSS?","Monthly","Quarterly","At least once every 12 months","Only after an actual security incident",c,"Requirement 12.10.2 requires that the security incident response plan is reviewed and tested, including all elements listed in 12.10.1, at least once every 12 months.",3,12,medium,PCI DSS v4.0.1 Req 12.10.2
"Under Requirement 12.10.3, specific personnel must be available at what level to respond to security incidents?","During business hours only","24/7 basis","On-call during evenings and weekends","Within 4 hours of notification",b,"Requirement 12.10.3 requires that specific personnel be designated to be available on a 24/7 basis to respond to suspected or confirmed security incidents.",3,12,medium,PCI DSS v4.0.1 Req 12.10.3
"Under PCI DSS Requirement 12.6.3, how frequently must security awareness training be provided to all personnel?","Monthly","Quarterly","At least once every 12 months","Only upon hire",c,"Requirement 12.6.3 requires that security awareness training is provided to all personnel upon hire and at least once every 12 months. The training must address threats and vulnerabilities that could impact the security of account data.",3,12,medium,PCI DSS v4.0.1 Req 12.6.3
"What is a Targeted Risk Analysis (TRA) as introduced in PCI DSS v4.0?","An annual penetration test focused on high-risk systems","A risk-based process that allows entities to determine the frequency of certain control activities","A method for calculating the financial impact of a data breach","A quarterly review of firewall rules",b,"PCI DSS v4.0 introduced targeted risk analyses where certain requirements allow the entity to determine the frequency of a control activity based on their own risk analysis rather than prescribing a fixed frequency. The TRA process is defined in Requirement 12.3.1.",3,12,hard,PCI DSS v4.0.1 Req 12.3.1
"Under Requirement 3.3.3, which entities are permitted to store Sensitive Authentication Data (SAD) after authorization?","Any Level 1 merchant","Issuers and companies that support issuing services with a legitimate and documented business need","Acquirers with more than 6 million transactions","Payment processors that encrypt the data",b,"Only issuers and companies that support issuing services where there is a legitimate and documented business need may store SAD after authorization. They must still encrypt it with strong cryptography.",3,3,hard,PCI DSS v4.0.1 Req 3.3.3
"According to PCI DSS Requirement 1, what must be established between the CDE and untrusted networks?","A VPN connection","Network security controls (e.g., firewalls) that restrict inbound and outbound traffic","A physical air gap","Content filtering software",b,"Requirement 1.3 requires that network security controls are installed between all wireless networks and the CDE and that all inbound and outbound traffic between the CDE and untrusted networks is restricted to only what is necessary.",3,1,medium,PCI DSS v4.0.1 Req 1.3
"Which PCI DSS goal does Requirement 3 (Protect Stored Account Data) fall under?","Build and Maintain a Secure Network and Systems","Protect Account Data","Maintain a Vulnerability Management Program","Implement Strong Access Control Measures",b,"Requirement 3 falls under Goal 2: Protect Account Data. Goal 2 also includes Requirement 4 (Protect cardholder data with strong cryptography during transmission).",3,3,easy,PCI DSS v4.0.1 Goals
"What does PCI DSS Requirement 8.6.3 require for application and system account passwords?","They must be at least 20 characters","They must be changed every 30 days","They cannot be used indefinitely and must be structured to resist brute-force and guessing attacks","They must use certificate-based authentication only",c,"Requirement 8.6.3 requires that passwords/passphrases for application and system accounts are protected against misuse, cannot be used indefinitely, and are structured to resist brute-force and guessing attacks. This became mandatory March 31, 2025.",3,8,hard,PCI DSS v4.0.1 Req 8.6.3
"Under Requirement 8.5.1, MFA systems must meet which of the following criteria?","Support only SMS-based authentication","Be resistant to replay attacks and strictly control any administrative overrides","Allow single-factor authentication as a fallback","Be implemented only for remote access",b,"Requirement 8.5.1 requires that MFA systems are resistant to attack (including replay attacks) and strictly control any administrative overrides. This became mandatory March 31, 2025.",3,8,hard,PCI DSS v4.0.1 Req 8.5.1
"What type of scan is performed by an Approved Scanning Vendor (ASV)?","Internal network vulnerability scan","External network vulnerability scan","Wireless access point scan","Application code review",b,"ASV scans are external vulnerability scans. They scan the entity's internet-facing environment from outside the network to identify vulnerabilities. Internal vulnerability scans are separate and can be performed by qualified internal resources.",4,,easy,PCI DSS v4.0.1 Req 11.3.2
"What CVSS score threshold determines whether an ASV external scan passes or fails?","CVSS score below 2.0","CVSS score below 4.0","CVSS score below 7.0","CVSS score below 9.0",b,"For an ASV scan to be considered passing, no vulnerability can have a CVSS score of 4.0 or higher. Vulnerabilities scoring 4.0 or above must be remediated and the scan re-run.",4,,medium,ASV Program Guide
"What is the primary difference between a vulnerability scan and a penetration test?","A vulnerability scan is manual; a penetration test is automated","A vulnerability scan identifies known vulnerabilities; a penetration test actively attempts to exploit vulnerabilities","There is no difference; the terms are interchangeable","A vulnerability scan covers the network layer; a penetration test covers only the application layer",b,"A vulnerability scan uses automated tools to identify known vulnerabilities. A penetration test is a highly manual process where a tester actively attempts to exploit vulnerabilities, often chaining multiple exploits to break through layers of defense. Scanning alone is not a penetration test.",4,,medium,PCI DSS v4.0.1 Req 11.4.1 Guidance
"A Report on Compliance (ROC) is completed by whom?","The merchant's IT department","A PCI SSC Qualified Security Assessor (QSA)","The payment brand (Visa, Mastercard, etc.)","An Approved Scanning Vendor (ASV)",b,"A ROC is completed by a PCI SSC-approved Qualified Security Assessor (QSA) who performs an on-site assessment. An Internal Security Assessor (ISA) may also complete a ROC for their own organization, depending on the brand's requirements.",4,,easy,PCI DSS Assessment Process
