question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,requirement,difficulty,pcip_reference
"Which of the following BEST describes the Attestation of Compliance (AOC)?",A detailed technical report documenting all testing procedures performed during an assessment,"A high-level summary document attesting to an entity's compliance status and scope of assessment, signed by both the entity and the assessor",A remediation plan listing all requirements not yet in place,A quarterly report submitted to the PCI SSC confirming ongoing compliance,b,"The AOC is a summary attestation document that accompanies either a ROC or SAQ. It provides an executive-level overview of the entity's compliance status and the scope of the assessment, and is signed by authorized representatives. It is typically shared with acquirers and payment brands as evidence of validation.",2,,medium,PCI DSS Assessment Process
"Under PCI DSS v4.0.1, issuers and companies that support issuing services have a unique exception regarding sensitive authentication data (SAD). What does this exception allow?",Issuers may store SAD indefinitely without encryption,"Issuers may store SAD after authorization if there is a legitimate issuing business need and the data is secured and encrypted with strong cryptography",Issuers are fully exempt from all Requirement 3 controls,Issuers may share SAD with merchants for fraud prevention purposes,b,"Requirement 3.3.3 provides a specific exception for issuers and companies supporting issuing services: they may store SAD after authorization, but only if there is a documented legitimate issuing business need, the data is secured, and it is encrypted using strong cryptography. This is the sole exception to the general prohibition on storing SAD after authorization.",2,,hard,PCI DSS v4.0.1 Req 3.3.3
"SAQ B is designed for merchants using standalone, dial-out terminals with no electronic cardholder data storage. Which additional condition must be met for SAQ B eligibility?",The merchant must process fewer than 20000 e-commerce transactions annually,"The terminals must not be connected to the Internet or any other systems in the merchant's environment",The merchant must use a PCI-listed P2PE solution,The merchant must have a completed ROC from a QSA on file,b,"SAQ B applies to merchants using only standalone, dial-out terminal devices (connected via a phone line to the processor) that do not store electronic cardholder data. A critical eligibility condition is that these terminals must not be connected to the Internet or to any other systems within the merchant's environment.",2,,medium,PCI DSS SAQ Instructions
"A merchant deploys a PCI SSC-listed P2PE solution for all card-present transactions and has no electronic cardholder data storage. Which SAQ type is specifically designed for this scenario?",SAQ A,SAQ B,SAQ C,SAQ P2PE,d,"SAQ P2PE is specifically designed for merchants that process cardholder data only via payment terminals included in a validated and PCI SSC-listed Point-to-Point Encryption (P2PE) solution, with no electronic cardholder data storage. P2PE significantly reduces PCI DSS scope because the merchant environment never has access to cleartext cardholder data.",2,,easy,PCI DSS SAQ Instructions
"PCI DSS v4.0 was originally published in March 2022. According to the version transition timeline, what was the retirement date for PCI DSS v4.0 (the non-point-release version)?",31 March 2024,30 June 2024,31 December 2024,31 March 2025,c,"Per Table 6 in PCI DSS v4.0.1, the original PCI DSS v4.0 was retired on 31 December 2024. This is distinct from the v3.2.1 retirement date of 31 March 2024. The v4.0.1 point release (published June 2024) became the sole active version of the standard after that date.",2,,hard,PCI DSS Version History
"Requirement 12.5.2 mandates that PCI DSS scope must be documented and confirmed at least once every 12 months and upon what additional trigger?",After every external vulnerability scan,Upon any significant change to the in-scope environment,Whenever a new employee is granted access to cardholder data,After each quarterly internal vulnerability scan,b,"Requirement 12.5.2 requires scope validation at least annually and upon any significant change to the in-scope environment. Significant changes include additions of new system components, changes to network architecture, modifications to data flows, or organizational changes such as mergers.",2,,medium,PCI DSS v4.0.1 Req 12.5.2
"PCI DSS v4.0.1 introduced numerous future-dated requirements that were designated as best practices until a specific effective date, after which they became mandatory. What is that effective date?",31 December 2024,31 March 2025,30 June 2025,31 March 2026,b,"Many new requirements introduced in PCI DSS v4.0 were designated as best practices until 31 March 2025, after which they became fully required and must be considered during PCI DSS assessments. This extended timeline gave organizations approximately three years from v4.0's March 2022 publication to implement these new controls.",2,,hard,PCI DSS v4.0.1 Timeline
"According to PCI DSS v4.0.1 Requirement 4.2.1, which of the following is required when transmitting PAN over open, public networks?",Encryption is optional if the network is monitored by an IDS,PAN may be sent in cleartext if behind a VPN,Only trusted keys and certificates are accepted,TLS 1.0 is acceptable if compensating controls are documented,c,"Requirement 4.2.1 mandates that only trusted keys and certificates are accepted when safeguarding PAN during transmission over open, public networks. The protocol must support only secure versions and must not allow fallback to insecure versions, algorithms, or implementations.",3,4,medium,PCI DSS v4.0.1 Req 4.2.1
"PCI DSS v4.0.1 Requirement 4.2.1.1 requires entities to maintain an inventory of trusted keys and certificates used to protect PAN during transmission. What is the primary purpose of this inventory?","To enable the entity to respond quickly to vulnerabilities in encryption software, certificates, and cryptographic algorithms",To provide a list of all SSL certificates for the organization's website,To satisfy the annual audit checklist only,To replace the need for Certificate Revocation Lists,a,"The inventory of trusted keys and certificates enables the entity to respond quickly to vulnerabilities discovered in encryption software, certificates, and cryptographic algorithms. It should include the issuing CA and certification expiration date so the entity can track algorithms, protocols, key strength, key custodians, and expiry dates.",3,4,medium,PCI DSS v4.0.1 Req 4.2.1.1
"Under PCI DSS v4.0.1 Requirement 4.2.1.2, what is required of wireless networks that transmit PAN or are connected to the CDE?",They must use industry best practices to implement strong cryptography for authentication and transmission,They must use WEP encryption as a minimum standard,They must be physically isolated from all other networks,They are exempt from encryption requirements if access is password-protected,a,"Requirement 4.2.1.2 states that wireless networks transmitting PAN or connected to the CDE must use industry best practices to implement strong cryptography for both authentication and transmission. Wireless networks should not permit fallback or downgrade to insecure protocols or lower encryption strength.",3,4,easy,PCI DSS v4.0.1 Req 4.2.1.2
"Which of the following is TRUE about PCI DSS v4.0.1 Requirement 4.2.1's treatment of certificates used to safeguard PAN during transmission over open, public networks?",Self-signed certificates are always prohibited,Certificate validation is recommended but not required,Certificates must be confirmed as valid and not expired or revoked,Only certificates from commercial CAs are acceptable,c,"Requirement 4.2.1 requires that certificates used to safeguard PAN during transmission over open, public networks are confirmed as valid and are not expired or revoked. Self-signed certificates may be acceptable if issued by an internal CA, confirmed by the certificate's author, and verified (e.g., via hash or signature).",3,4,hard,PCI DSS v4.0.1 Req 4.2.1
"PCI DSS v4.0.1 Requirement 4.2.2 addresses PAN transmitted via end-user messaging technologies. Which of the following is an example of such a technology?",A dedicated payment gateway API,"Email, instant messaging, SMS, and chat",An internal batch file transfer system,A TLS-encrypted database connection,b,"Requirement 4.2.2 requires PAN to be secured with strong cryptography whenever sent via end-user messaging technologies. The standard specifically identifies email, instant messaging, SMS, and chat as examples of these technologies. This requirement applies even if a customer or third party requests that PAN be sent via these channels.",3,4,easy,PCI DSS v4.0.1 Req 4.2.2
"According to PCI DSS v4.0.1 Requirement 5.4.1, what must entities implement to address phishing attacks against personnel?",Annual phishing awareness training only,A written policy prohibiting employees from opening emails,Processes and automated mechanisms to detect and protect personnel against phishing attacks,Monthly simulated phishing exercises as the sole control,c,"Requirement 5.4.1 requires that processes and automated mechanisms are in place to detect and protect personnel against phishing attacks. The standard's guidance recommends a combination of approaches including anti-spoofing controls such as DMARC, SPF, and DKIM, as well as technologies for blocking phishing emails.",3,5,medium,PCI DSS v4.0.1 Req 5.4.1
"Under PCI DSS v4.0.1, what does Requirement 5.3.3 require for removable electronic media?",Anti-malware scans of removable media are recommended but not required,"The anti-malware solution must perform automatic scans when media is inserted or connected, OR perform continuous behavioral analysis",All removable media must be prohibited in the CDE,Removable media only needs to be scanned during quarterly vulnerability assessments,b,"Requirement 5.3.3 requires that for removable electronic media, the anti-malware solution either performs automatic scans when the media is inserted, connected, or logically mounted, OR performs continuous behavioral analysis of systems or processes when the media is connected. This became a full requirement after March 31, 2025.",3,5,medium,PCI DSS v4.0.1 Req 5.3.3
"PCI DSS v4.0.1 Requirement 5.3.2 provides two options for how anti-malware solutions must operate. What are they?",Signature-based detection or heuristic analysis,"Periodic scans and active/real-time scans, OR continuous behavioral analysis of systems or processes",Weekly full-system scans or daily quick scans,Cloud-based scanning or on-premises scanning,b,"Requirement 5.3.2 states that the anti-malware solution must either perform periodic scans and active or real-time scans, OR perform continuous behavioral analysis of systems or processes. If the entity chooses periodic scans, Requirement 5.3.2.1 requires the scan frequency to be defined via a targeted risk analysis per Requirement 12.3.1.",3,5,medium,PCI DSS v4.0.1 Req 5.3.2
"According to PCI DSS v4.0.1 Requirement 5.3.4, anti-malware audit logs must be retained in accordance with which other requirement?",Requirement 10.5.1 (at least 12 months with 3 months immediately available),Requirement 3.1.1 (data retention policy),Requirement 12.3.1 (targeted risk analysis),Requirement 11.3.1 (vulnerability scan records),a,"Requirement 5.3.4 states that audit logs for the anti-malware solution must be enabled and retained in accordance with Requirement 10.5.1. That requirement mandates retaining audit log history for at least 12 months, with at least the most recent three months immediately available for analysis.",3,5,hard,PCI DSS v4.0.1 Req 5.3.4
"PCI DSS v4.0.1 Requirement 5.3.5 addresses the ability of users to disable anti-malware mechanisms. Under what condition may anti-malware be temporarily disabled?",When the system administrator determines it is causing performance issues,When the system is within a segmented network with no external connectivity,When running scheduled system maintenance windows as defined in the change control policy,"When specifically documented and authorized by management on a case-by-case basis for a limited time period",d,"Requirement 5.3.5 states that anti-malware mechanisms cannot be disabled or altered by users unless specifically documented and authorized by management on a case-by-case basis for a limited time period. Additional security measures may need to be implemented for the period during which anti-malware protection is not active.",3,5,easy,PCI DSS v4.0.1 Req 5.3.5
"PCI DSS v4.0.1 Requirement 9.5.1.2.1 requires the frequency of periodic POI device inspections to be determined by which method?",The payment brand's compliance program guidelines,A fixed schedule of monthly inspections,The POI device manufacturer's warranty terms,"The entity's targeted risk analysis performed according to Requirement 12.3.1",d,"Requirement 9.5.1.2.1 states that the frequency of periodic POI device inspections and the type of inspections performed must be defined in the entity's targeted risk analysis, performed according to all elements specified in Requirement 12.3.1. Factors such as device location and whether the device is attended or unattended influence inspection frequency.",3,9,medium,PCI DSS v4.0.1 Req 9.5.1.2.1
"According to PCI DSS v4.0.1 Requirement 9.4.6, which of the following is an acceptable method for destroying hard-copy materials containing cardholder data?","Cross-cut shredding, incineration, or pulping",Single-pass strip-cut shredding,Placing materials in a standard recycling bin,Soaking materials in water until illegible,a,"Requirement 9.4.6 specifies that hard-copy materials with cardholder data must be cross-cut shredded, incinerated, or pulped so that cardholder data cannot be reconstructed. Additionally, materials must be stored in secure storage containers prior to destruction. Strip-cut shredding is not listed as an acceptable method.",3,9,easy,PCI DSS v4.0.1 Req 9.4.6
"Under PCI DSS v4.0.1 Requirement 9.3.2, which of the following is required for visitor access to the CDE?",Visitors may access the CDE unescorted if they have a valid business justification,Visitors are only required to sign a log book upon entry and exit,Visitors must sign a non-disclosure agreement and may then move freely within the CDE,"Visitors must be authorized before entering, escorted at all times, and given identification that visibly distinguishes them from personnel",d,"Requirement 9.3.2 requires that visitors are authorized before entering, escorted at all times, and clearly identified with a badge or other identification that expires and visibly distinguishes visitors from personnel. The badge or identification must not permit unescorted access to the CDE.",3,9,easy,PCI DSS v4.0.1 Req 9.3.2
"PCI DSS v4.0.1 Requirement 9.3.1.1 addresses physical access to sensitive areas within the CDE for personnel. Which of the following is required?",Access requires two-person integrity controls at all times,"Access is authorized based on individual job function, revoked immediately upon termination, and all physical access mechanisms are returned or disabled upon termination",Access must be reviewed annually and re-approved by the CISO,Access is granted to all employees by default and restricted only after a security incident,b,"Requirement 9.3.1.1 mandates that physical access to sensitive areas within the CDE for personnel is authorized based on individual job function, revoked immediately upon termination, and that all physical access mechanisms (such as keys and access cards) are returned or disabled upon termination.",3,9,medium,PCI DSS v4.0.1 Req 9.3.1.1
"According to PCI DSS v4.0.1 Requirement 1.4.4, what is required of system components that store cardholder data?",They must not be directly accessible from untrusted networks,They must use multi-factor authentication for all administrative access,They must be located in a physically separate data center from other systems,They must be encrypted at the disk level using AES-256,a,"Requirement 1.4.4 states that system components storing cardholder data must not be directly accessible from untrusted networks. Methods to meet this requirement include IPv4 Network Address Translation (NAT), placing systems behind proxy servers or NSCs, filtering route advertisements, and using RFC 1918 addressing internally.",3,1,medium,PCI DSS v4.0.1 Req 1.4.4
"PCI DSS v4.0.1 Requirement 1.3.1 addresses inbound traffic to the CDE. Which of the following correctly describes the requirement?",Inbound traffic from trusted internal networks is always permitted without restriction,"Inbound traffic must be logged but does not need to be restricted if an IDS is monitoring","Inbound traffic is restricted to only traffic that is necessary, and all other traffic is specifically denied",Inbound HTTP and HTTPS traffic is always permitted to the CDE if a WAF is in place,c,"Requirement 1.3.1 states that inbound traffic to the CDE must be restricted to only traffic that is necessary, and all other traffic must be specifically denied. The guidance recommends implementing an explicit 'deny all' or implicit deny after allow statement to prevent inadvertent holes that would allow unintended traffic.",3,1,medium,PCI DSS v4.0.1 Req 1.3.1
"PCI DSS v4.0.1 Requirement 1.4.2 addresses inbound traffic from untrusted networks to trusted networks. What type of NSC functionality is described as necessary for this control?",DNS-based traffic filtering and blacklisting,Deep packet inspection at the application layer,Content delivery network caching and filtering,"Stateful inspection, where the NSC maintains the state of each connection",d,"Requirement 1.4.2 describes stateful packet inspection, where the NSC maintains the 'state' (or status) for each connection into the network. This means the NSC knows whether an apparent response to a previous connection is a valid, authorized response or whether it is malicious traffic trying to fool the NSC into allowing the connection.",3,1,hard,PCI DSS v4.0.1 Req 1.4.2
"PCI DSS v4.0.1 Requirement 2.2.1 specifies that configuration standards must be consistent with industry-accepted system hardening standards. Which of the following is cited as a source for such guidance?",The entity's internal IT department without external reference,PCI SSC's own hardening checklists exclusively,"Center for Internet Security (CIS), ISO, NIST, Cloud Security Alliance, and product vendors",Only the system component vendor's default configuration guide,c,"Requirement 2.2.1 requires configuration standards to cover all system components, address known security vulnerabilities, and be consistent with industry-accepted hardening standards. The standard cites CIS, ISO, NIST, Cloud Security Alliance, and product vendors as sources for guidance on configuration standards.",3,2,medium,PCI DSS v4.0.1 Req 2.2.1
"According to PCI DSS v4.0.1 Requirement 2.2.4, what must be done with unnecessary functionality on system components?","It is acceptable to leave unnecessary services running if they are behind a firewall","All unnecessary functionality must be removed or disabled, and only required functionality may be enabled",It must be documented in a risk register but can remain enabled,Unnecessary services only need to be addressed on systems directly storing PAN,b,"Requirement 2.2.4 mandates that only necessary services, protocols, daemons, and functions are enabled, and that all unnecessary functionality is removed or disabled. The standard references NIST, ENISA, and OWASP as sources for guidance on which services, protocols, or daemons are considered insecure.",3,2,hard,PCI DSS v4.0.1 Req 2.2.4
"PCI DSS v4.0.1 Requirement 2.3.1 addresses wireless environments connected to the CDE or transmitting account data. Which of the following vendor defaults must be changed at installation?",Only the SSID name and wireless channel,"Default wireless encryption keys, passwords on wireless access points, SNMP defaults, and any other security-related wireless vendor defaults",Only wireless encryption keys and access point passwords,Only the administrative password for the access point management console,b,"Requirement 2.3.1 requires that all wireless vendor defaults are changed at installation or confirmed to be secure, including default wireless encryption keys, passwords on wireless access points, SNMP defaults, and any other security-related wireless vendor defaults. Wireless encryption keys must also be changed when personnel with knowledge of the key leave or change roles.",3,2,hard,PCI DSS v4.0.1 Req 2.3.1
"According to PCI DSS v4.0.1 Requirement 11.3.1, who is permitted to perform internal vulnerability scans?",A PCI SSC Approved Scanning Vendor (ASV) exclusively,A Qualified Security Assessor (QSA) exclusively,"A qualified internal resource with organizational independence from the systems being scanned, or a qualified external third party",Only PCI Forensic Investigators (PFIs) with active certification,c,"PCI DSS v4.0.1 states that it is not required to use a QSA or ASV to conduct internal vulnerability scans. Internal scans can be performed by qualified internal staff who are reasonably independent of the system components being scanned, or by an external firm specializing in vulnerability scanning.",4,,easy,PCI DSS v4.0.1 Req 11.3.1
"Under PCI DSS v4.0.1, which statement is TRUE regarding an ISA's ability to complete a Report on Compliance (ROC) using the customized approach?",ISAs are never permitted to document assessments using the customized approach,"ISAs may document assessments using the customized approach in a ROC Template, but the use of the customized approach may be regulated by payment brands and acquirers",Only QSAs may use the customized approach and ISAs must always use the defined approach,ISAs may use the customized approach only if they also hold a PCIP credential,b,"PCI DSS v4.0.1 Appendix D states that use of the customized approach must be documented by a QSA or ISA in accordance with instructions in the ROC Template. However, the standard also notes that payment brands or acquirers may require a QSA rather than permitting an ISA for customized approach assessments.",4,,hard,PCI DSS v4.0.1 Appendix D
"What is the minimum retention period for assessment working papers, evidence, and related materials that a QSA Company must maintain?",One year from the ROC completion date,Two years from the ROC completion date,Three years from the ROC completion date,Five years from the ROC completion date,c,"The QSA Qualification Requirements mandate that QSA Companies must maintain and securely store all assessment results and related materials for a minimum of three years from the ROC completion date. This documentation must be available upon request by PCI SSC for quality assurance review.",4,,medium,QSA Qualification Requirements
"The PCI SSC publishes separate Attestation of Compliance (AOC) templates for merchants and service providers. How many distinct AOC templates exist for merchants specifically?",One universal AOC template for all merchants,"Four templates, one per merchant compliance level","Eight templates, one per SAQ type","Nine templates -- one for each of the eight SAQ types plus one for the ROC",d,"The PCI SSC provides nine distinct AOC templates for merchants: one corresponding to each of the eight Self-Assessment Questionnaire types (A, A-EP, B, B-IP, C, C-VT, D, P2PE) and one for use with the Report on Compliance. Each AOC template aligns with the specific validation documentation the merchant has completed.",4,,medium,PCI DSS AOC Templates
"An entity needs to confirm the accuracy of its PCI DSS scope according to Requirement 12.5.2. Which statement about annual scope confirmation is correct?",The scope confirmation is performed only by the QSA or ISA during the annual assessment,"The entity's annual scope confirmation replaces the assessor's scoping validation during the assessment","The entity must perform the scope confirmation, and this is separate from the scoping confirmation performed by the assessor during the assessment",Scope confirmation is only required when there are significant changes to the CDE,c,"PCI DSS v4.0.1 Requirement 12.5.2 defines annual scope confirmation as an activity performed by the entity under assessment. The standard explicitly notes that this entity-driven activity is not the same as, nor is it intended to replace, the scoping confirmation performed by the assessor during the annual assessment. Both activities are required.",4,,medium,PCI DSS v4.0.1 Req 12.5.2
"The Compensating Controls Worksheet in Appendix C of PCI DSS v4.0.1 requires several sections of information. Which of the following is one of the required sections?",Cost-benefit analysis of implementing the original requirement,"Definition of the compensating controls explaining how they address the objectives of the original control and the increased risk",A timeline for eventual migration to the original PCI DSS requirement,Approval signatures from the entity's acquiring bank,b,"The Compensating Controls Worksheet (Appendix C) requires specific sections including: constraints preventing compliance with the original requirement, definition of compensating controls explaining how they address the original objective and increased risk, identified additional risk, validation of compensating controls, and maintenance processes.",4,,medium,PCI DSS v4.0.1 Appendix C
"When a scan customer believes an ASV external vulnerability scan contains a false positive, what is the correct resolution process?",The scan customer escalates the dispute directly to the PCI SSC for arbitration,"The scan customer provides written evidence to the ASV proving the finding is a false positive, and the ASV reviews and adjudicates the dispute",The scan customer engages a second ASV to rescan and override the original finding,The scan customer marks the finding as a false positive in the scan report and submits it as passing,b,"Under the ASV Program Guide, the dispute process for false positives is handled exclusively between the scan customer and the ASV. The customer must provide sufficient written evidence proving the vulnerability is a false positive. The ASV then reviews the evidence and makes the determination. Disputes are not escalated to the PCI SSC.",4,,medium,ASV Program Guide
"What is the role of a PCI SSC Qualified PIN Assessor (QPA)?","To perform assessments validating an entity's compliance with the PCI PIN Security Standard for secure management and transmission of PIN data",To assess compliance with PCI DSS requirements related to PIN entry on point-of-sale devices only,To certify PIN entry devices (PEDs) for inclusion on the PCI PTS approved device list,To investigate data breaches that specifically involved compromised PIN data,a,"Qualified PIN Assessors (QPAs) are security professionals qualified by the PCI SSC to perform assessments against the PCI PIN Security Standard. Their assessments cover the secure management, processing, and transmission of PIN data during payment card transactions, including encryption and key management of PIN transactions and the secure management of processing equipment such as HSMs.",4,,medium,QPA Qualification Requirements
"Which statement about the PCIP (Payment Card Industry Professional) credential is TRUE?","The PCIP credential is tied to the holder's employer and must be re-obtained when changing jobs",PCIPs must earn 20 CPE hours per year and requalify every two years,PCIPs must earn 10 CPE hours per year and requalify every three years with a total of 30 CPE hours,The PCIP credential never expires once obtained and requires no continuing education,c,"The PCIP credential is portable -- it remains with the individual regardless of employer changes. To maintain qualification, PCIPs must earn 10 Continuing Professional Education (CPE) hours per year, accumulating 30 CPE hours over a rolling three-year period. Requalification also requires passing an exam.",4,,easy,PCIP Qualification Requirements
"During a PCI DSS assessment, an assessor finds that standardized processes thought to be in place are not actually functioning effectively. What action must the assessor take regarding their sampling approach?",Immediately halt the assessment and report the finding to the PCI SSC,Reduce the sample size to focus only on the non-conforming items,Increase the sample size to gain assurance that PCI DSS requirements are being met across the population,Accept the original sample results but note the finding as an exception in the ROC,c,"PCI DSS v4.0.1 assessment guidance states that if an assessor initially relies on standardized processes as a basis for selecting a smaller sample, but then discovers that those processes are not in place or not operating effectively, the assessor must increase the sample size to gain reasonable assurance across the broader population.",4,,hard,PCI DSS v4.0.1 Assessment Process
"Individuals who hold active QSA or ISA qualifications in good standing wish to also obtain the PCIP credential. What special provision applies to them?",They must complete the full PCIP training course but are exempt from the exam,"They may apply for the PCIP credential without completing PCIP-specific exams, training, or reporting CPE hours required of non-assessor PCIPs",They receive the PCIP credential automatically upon QSA or ISA qualification with no application needed,They must complete all standard PCIP requirements with no exceptions,b,"The PCI SSC recognizes that qualified QSA employees and ISAs in good standing already possess knowledge that meets or exceeds the PCIP curriculum. These individuals may apply for the PCIP credential without completing PCIP-specific exams or training, and without reporting the CPE hours normally required of non-assessor PCIPs.",4,,hard,PCIP Qualification Requirements
