question_text,answer,domain,requirement,pcip_reference
Which PCI DSS requirement covers protecting data in transit?,Requirement 4,3,4,PCI DSS v4.0.1 Req 4
Which PCI DSS requirement covers malware protection?,Requirement 5,3,5,PCI DSS v4.0.1 Req 5
Which PCI DSS requirement covers secure systems and software development?,Requirement 6,3,6,PCI DSS v4.0.1 Req 6
Which PCI DSS requirement covers access restriction by need to know?,Requirement 7,3,7,PCI DSS v4.0.1 Req 7
Which PCI DSS requirement covers user identification and authentication?,Requirement 8,3,8,PCI DSS v4.0.1 Req 8
Which PCI DSS requirement covers physical access?,Requirement 9,3,9,PCI DSS v4.0.1 Req 9
Which PCI DSS requirement covers logging and monitoring?,Requirement 10,3,10,PCI DSS v4.0.1 Req 10
Which PCI DSS requirement covers regular security testing?,Requirement 11,3,11,PCI DSS v4.0.1 Req 11
Which PCI DSS requirement covers organizational policies and programs?,Requirement 12,3,12,PCI DSS v4.0.1 Req 12
How often must NSC configurations be reviewed?,Every 6 months,3,1,PCI DSS v4.0.1 Req 1.2
What is the default NSC rule?,Deny all,3,1,PCI DSS v4.0.1 Req 1.4
What is the easiest way to meet Requirement 3?,Do not store account data at all,3,3,PCI DSS v4.0.1 Req 3
What are the four methods to render PAN unreadable when stored?,"Keyed hashing (HMAC), truncation, index tokens, strong cryptography",3,3,PCI DSS v4.0.1 Req 3.5.1
True or false: Plain SHA-256 hashing is sufficient to render PAN unreadable.,False -- must use keyed hashing (HMAC or equivalent),3,3,PCI DSS v4.0.1 Req 3.5.1
What minimum TLS version does PCI DSS require?,TLS 1.2 or higher,3,4,PCI DSS v4.0.1 Req 4
True or false: PCI DSS requires encrypting PAN on internal private networks.,False -- good practice but not required,3,4,PCI DSS v4.0.1 Req 4
True or false: Anti-phishing training alone satisfies Requirement 5.4.,False -- technical controls also required,3,5,PCI DSS v4.0.1 Req 5.4
Within what timeframe must critical/high security patches be installed?,1 month of release,3,6,PCI DSS v4.0.1 Req 6.3.3
True or false: Live PANs may be used in pre-production environments if encrypted.,False -- no live PANs in pre-production ever,3,6,PCI DSS v4.0.1 Req 6.5
After March 2025 what is required for public-facing web app protection?,Automated technical solution (e.g. WAF) -- pen-test-only option retired,3,6,PCI DSS v4.0.1 Req 6.4
True or false: Requirements 7 and 8 apply to consumer/cardholder accounts.,False -- they apply to personnel/system accounts only,3,7,PCI DSS v4.0.1 Req 7
How often must user accounts and access privileges be reviewed?,Every 6 months,3,7,PCI DSS v4.0.1 Req 7.2
What is the minimum password length per PCI DSS?,12 characters (8 if system cannot support 12),3,8,PCI DSS v4.0.1 Req 8.3.6
How many previous passwords cannot be reused?,Last 4,3,8,PCI DSS v4.0.1 Req 8.3.6
After how many failed login attempts must an account lock out?,10 attempts,3,8,PCI DSS v4.0.1 Req 8.3.4
What is the minimum lockout duration?,30 minutes,3,8,PCI DSS v4.0.1 Req 8.3.4
After how many days of inactivity must accounts be removed or disabled?,90 days,3,8,PCI DSS v4.0.1 Req 8.2.5
After how many minutes of idle time must sessions require re-authentication?,15 minutes,3,8,PCI DSS v4.0.1 Req 8.2.8
Where is MFA required per PCI DSS (post-March 2025)?,"All non-console admin access (8.4.1) and all CDE access (8.4.2)",3,8,PCI DSS v4.0.1 Req 8.4
What are the three MFA authentication factors?,"Something you know, something you have, something you are",3,8,PCI DSS v4.0.1 Req 8.4
True or false: Group/shared accounts are allowed for POS cashiers.,True -- exception to the unique ID requirement,3,8,PCI DSS v4.0.1 Req 8.2.1
True or false: Hard-coded passwords in code are acceptable if the repo is secure.,False -- prohibited under all circumstances (8.6.2),3,8,PCI DSS v4.0.1 Req 8.6.2
When must terminated employee access be revoked?,Immediately,3,8,PCI DSS v4.0.1 Req 8.2.4
True or false: A retail floor with only POS devices is a sensitive area.,False -- sensitive areas contain critical CDE systems,3,9,PCI DSS v4.0.1 Req 9
True or false: Degaussing can destroy data on solid-state drives.,False -- degaussing only works on magnetic media,3,9,PCI DSS v4.0.1 Req 9.4
What does FIM stand for?,File Integrity Monitoring,3,11,PCI DSS v4.0.1 Req 11.5.2
How often must FIM comparisons occur?,At least weekly,3,11,PCI DSS v4.0.1 Req 11.5.2
How often must audit logs be reviewed?,Daily using automated mechanisms,3,10,PCI DSS v4.0.1 Req 10.4.1
How long must audit logs be retained?,12 months with 3 months immediately available,3,10,PCI DSS v4.0.1 Req 10.5
Under the Customized Approach for log retention how much must be immediately available?,All 12 months,3,10,PCI DSS v4.0.1 Req 10.5
What six data elements must each audit log entry contain?,"User ID, event type, date/time, success/failure, origination, affected resource",3,10,PCI DSS v4.0.1 Req 10
How often must wireless access point scanning occur?,Every 3 months -- even if entity does not use wireless,3,11,PCI DSS v4.0.1 Req 11.2
How often must internal vulnerability scans be performed?,At least quarterly and after significant change,3,11,PCI DSS v4.0.1 Req 11.3.1
How often must external vulnerability scans (ASV) be performed?,At least quarterly and after significant change,3,11,PCI DSS v4.0.1 Req 11.3.2
What CVSS score threshold defines a passing ASV scan?,No vulnerabilities scored 4.0 or higher,3,11,PCI DSS v4.0.1 Req 11.3.2
True or false: The CDE firewall admin may perform internal vulnerability scans.,False -- must be organizationally independent,3,11,PCI DSS v4.0.1 Req 11.3
How often must penetration testing be performed?,At least annually and after significant change,3,11,PCI DSS v4.0.1 Req 11.4
How often must service providers perform segmentation pen tests?,Every 6 months,3,11,PCI DSS v4.0.1 Req 11.4
What does Requirement 11.6 protect against?,Magecart-style attacks (payment page script tampering),3,11,PCI DSS v4.0.1 Req 11.6
How often must the information security policy be reviewed?,Every 12 months,3,12,PCI DSS v4.0.1 Req 12.1
Who must be assigned information security responsibility?,A member of executive management,3,12,PCI DSS v4.0.1 Req 12.1
How often must a formal risk assessment be performed?,At least every 12 months and upon significant change,3,12,PCI DSS v4.0.1 Req 12.3
How often must security awareness training be provided?,Upon hire and at least annually,3,12,PCI DSS v4.0.1 Req 12.6
True or false: A single annual email satisfies security awareness training.,False -- must use multiple methods,3,12,PCI DSS v4.0.1 Req 12.6
How often must scope confirmation occur for standard entities?,Every 12 months,3,12,PCI DSS v4.0.1 Req 12.5
How often must scope confirmation occur for service providers?,Every 6 months,3,12,PCI DSS v4.0.1 Req 12.5
How often must TPSP compliance be monitored?,Every 12 months,3,12,PCI DSS v4.0.1 Req 12.8
True or false: If a TPSP fails to meet PCI DSS requirements those requirements are also not in place for the entity.,True,3,12,PCI DSS v4.0.1 Req 12.8
How often must the incident response plan be reviewed?,Every 12 months,3,12,PCI DSS v4.0.1 Req 12.10
Must incident response personnel be available 24/7?,Yes,3,12,PCI DSS v4.0.1 Req 12.10
How often must service provider executive management review PCI compliance?,Every 3 months,3,12,PCI DSS v4.0.1 Req 12.4
How often must DESV entities confirm scope?,Every 3 months,4,,PCI DSS v4.0.1 Appendix A3
What does ROC stand for?,Report on Compliance,4,,PCI DSS v4.0.1 ROC Template
What does ROV stand for?,Report on Validation,4,,PCI Standards Overview
What is the difference between a ROC and an ROV?,ROC compares an organization to a standard; ROV compares a product/service to a standard,4,,PCI Standards Overview
What does AOC stand for?,Attestation of Compliance,4,,PCI DSS v4.0.1 AOC
What does AOV stand for?,Attestation of Validation,4,,PCI Standards Overview
Who writes a ROC?,QSA (or ISA for internal assessments),4,,PCI DSS v4.0.1 ROC Template
Who writes an SAQ?,The merchant or service provider (self-assessment),4,,SAQ Overview
Who writes PFI reports?,PCI Forensic Investigators,4,,PCI SSC PFI Program Guide
Which reports are designed for wide sharing?,AOC and AOV (summaries),4,,PCI Standards Overview
Which reports are sensitive and not widely shared?,ROC and ROV (detailed),4,,PCI Standards Overview
Where are ROVs submitted?,Directly to the PCI SSC,4,,PCI Standards Overview
Where are ROCs submitted?,To the payment brand or acquirer,4,,PCI Standards Overview
What is sampling in a PCI DSS assessment?,Testing a representative subset of components rather than every instance,4,,PCI DSS v4.0.1 Assessment Process
What happens if a sampled item fails?,Assessor must test additional items or declare requirement not in place,4,,PCI DSS v4.0.1 Assessment Process
What is a significant change?,Change affecting CDE security -- new hardware/software / altered data flows / scope changes / TPSP changes,4,,PCI DSS v4.0.1 Scoping
What is the difference between a vulnerability scan and a penetration test?,Scan = automated identification of vulnerabilities; pen test = manual simulated attack with active exploitation,4,,PCI DSS v4.0.1 Req 11
What does SAQ stand for?,Self-Assessment Questionnaire,4,,PCI DSS v4.0.1 SAQ Overview
True or false: SAQs are submitted to the PCI SSC.,False -- submitted to payment brands / acquirers,4,,SAQ Overview
Who determines SAQ eligibility?,The acquirer or payment brand,4,,SAQ Overview
What is SAQ A for?,CNP merchants with fully outsourced payment functions who cannot impact the payment page,4,,SAQ A
What is SAQ A-EP for?,E-commerce merchants who CAN impact the payment page,4,,SAQ A-EP
What is the key difference between SAQ A and SAQ A-EP?,A = cannot impact payment page; A-EP = can impact payment page,4,,SAQ Overview
What is SAQ B for?,Merchants using imprint machines or standalone dial-out terminals (no internet),4,,SAQ B
What is SAQ B-IP for?,Merchants using standalone PTS-approved POI devices connected via IP to processor,4,,SAQ B-IP
What is SAQ C for?,Merchants with payment app on internet-connected device (single store),4,,SAQ C
What is SAQ C-VT for?,Merchants manually entering data via hosted virtual terminal on isolated PC,4,,SAQ C-VT
What is SAQ P2PE for?,Merchants using hardware terminals in a PCI-listed P2PE solution,4,,SAQ P2PE
What is SAQ D for?,Merchants not eligible for other SAQs OR service providers (full PCI DSS),4,,SAQ D
Which SAQ is the only option for service providers?,SAQ D,4,,SAQ D
What are the five SAQ response options?,"In Place, In Place with CCW, Not Applicable, Not In Place, Not Tested (D only)",4,,SAQ Overview
What does DESV stand for?,Designated Entities Supplemental Validation,5,,PCI DSS v4.0.1 Appendix A3
True or false: Entities can self-select for DESV.,False -- must be designated by a payment brand or acquirer,5,,PCI DSS v4.0.1 Appendix A3
True or false: The Customized Approach can be used for DESV requirements.,False -- not permitted for any Appendix A3 requirements,5,,PCI DSS v4.0.1 Appendix A3
What is Visa's compliance program called?,Account Information Security (AIS),5,,Visa Core Rules
What is Mastercard's compliance program called?,Site Data Protection (SDP),5,,Mastercard Standards
What does MATCH stand for?,Member Alert to Control High-risk Merchants,5,,Mastercard Standards
What was the MATCH system previously called?,Terminated Merchant File (TMF),5,,Mastercard Standards
What is the MATCH system?,Mastercard database of merchants terminated for cause (fraud / non-compliance),5,,Mastercard Standards
What is Business as Usual (BAU) in PCI context?,Integrating PCI DSS compliance into daily operations rather than treating it as a periodic event,5,,PCI DSS v4.0.1 Best Practices
What is a TPSP?,Third-Party Service Provider -- entity involved in processing/storing/transmitting CHD on behalf of another,5,,PCI DSS v4.0.1 Req 12.8
What are future-dated requirements in PCI DSS v4.0.1?,New requirements that were best practices until 31 March 2025 then became mandatory,5,,PCI DSS v4.0.1 Summary of Changes
Name four potential consequences of PCI DSS non-compliance.,"Fines from card brands, MATCH listing, loss of card acceptance, increased liability for fraud",5,,Card Brand Compliance Programs
What does NSC stand for?,Network Security Control,3,1,PCI DSS v4.0.1 Req 1
What does CVSS stand for?,Common Vulnerability Scoring System,3,11,PCI DSS v4.0.1 Req 11
What does WAF stand for?,Web Application Firewall,3,6,PCI DSS v4.0.1 Req 6.4
What does SRED stand for?,Secure Reading and Exchange of Data,1,,PCI SSC P2PE Standard
What does IDS/IPS stand for?,Intrusion Detection/Prevention System,3,11,PCI DSS v4.0.1 Req 11.5
What does NTP stand for?,Network Time Protocol,3,10,PCI DSS v4.0.1 Req 10.6
What does OWASP stand for?,Open Web Application Security Project,3,6,PCI DSS v4.0.1 Req 6.2
What does QPA stand for?,Qualified PIN Assessor,1,,PCI Standards Overview
What does HMAC stand for?,Hash-based Message Authentication Code,3,3,PCI DSS v4.0.1 Req 3.5
What does SPoC stand for?,Software-based PIN Entry on COTS,1,,PCI Standards Overview
What does COTS stand for?,Commercial Off-The-Shelf,1,,PCI Standards Overview
How often must media inventory be performed?,Every 12 months,3,9,PCI DSS v4.0.1 Req 9.4
What does WORM stand for?,Write Once Read Many,3,10,PCI DSS v4.0.1 Req 10.3
True or false: SSL and early TLS are considered strong cryptography.,False -- limited exception only for POI terminals not susceptible to known attacks,3,4,PCI DSS v4.0.1 Appendix A2
What cardholder verification method is used for e-commerce transactions?,CVV2 (and optionally 3D Secure),1,,PCI Standards Overview
What does CRL stand for?,Certificate Revocation List,3,4,PCI DSS v4.0.1 Req 4.2
What does OCSP stand for?,Online Certificate Status Protocol,3,4,PCI DSS v4.0.1 Req 4.2
